Terytorium;Przystąpiło/zdało ;Płeć ;Rok;Liczba osób
Polska;przystąpiło;mężczyźni;2010;160988
Polska;przystąpiło;kobiety;2010;205635
Polska;przystąpiło;mężczyźni;2011;150984
Polska;przystąpiło;kobiety;2011;192840
Polska;przystąpiło;mężczyźni;2012;145321
Polska;przystąpiło;kobiety;2012;184697
Polska;przystąpiło;mężczyźni;2013;139294
Polska;przystąpiło;kobiety;2013;175191
Polska;przystąpiło;mężczyźni;2014;130721
Polska;przystąpiło;kobiety;2014;163253
Polska;przystąpiło;mężczyźni;2015;123785
Polska;przystąpiło;kobiety;2015;151783
Polska;przystąpiło;mężczyźni;2016;115469
Polska;przystąpiło;kobiety;2016;142903
Polska;przystąpiło;mężczyźni;2017;116577
Polska;przystąpiło;kobiety;2017;141453
Polska;przystąpiło;mężczyźni;2018;112592
Polska;przystąpiło;kobiety;2018;135248
Polska;zdało;mężczyźni;2010;129647
Polska;zdało;kobiety;2010;169125
Polska;zdało;mężczyźni;2011;113551
Polska;zdało;kobiety;2011;145978
Polska;zdało;mężczyźni;2012;116132
Polska;zdało;kobiety;2012;148990
Polska;zdało;mężczyźni;2013;111469
Polska;zdało;kobiety;2013;143588
Polska;zdało;mężczyźni;2014;91146
Polska;zdało;kobiety;2014;116877
Polska;zdało;mężczyźni;2015;91984
Polska;zdało;kobiety;2015;112513
Polska;zdało;mężczyźni;2016;91574
Polska;zdało;kobiety;2016;113787
Polska;zdało;mężczyźni;2017;91334
Polska;zdało;kobiety;2017;111216
Polska;zdało;mężczyźni;2018;88637
Polska;zdało;kobiety;2018;108779
Dolnośląskie;przystąpiło;mężczyźni;2010;9951
Dolnośląskie;przystąpiło;kobiety;2010;13448
Dolnośląskie;przystąpiło;mężczyźni;2011;9386
Dolnośląskie;przystąpiło;kobiety;2011;12146
Dolnośląskie;przystąpiło;mężczyźni;2012;9187
Dolnośląskie;przystąpiło;kobiety;2012;11752
Dolnośląskie;przystąpiło;mężczyźni;2013;8764
Dolnośląskie;przystąpiło;kobiety;2013;11370
Dolnośląskie;przystąpiło;mężczyźni;2014;8459
Dolnośląskie;przystąpiło;kobiety;2014;10474
Dolnośląskie;przystąpiło;mężczyźni;2015;8184
Dolnośląskie;przystąpiło;kobiety;2015;9579
Dolnośląskie;przystąpiło;mężczyźni;2016;7481
Dolnośląskie;przystąpiło;kobiety;2016;9208
Dolnośląskie;przystąpiło;mężczyźni;2017;7554
Dolnośląskie;przystąpiło;kobiety;2017;9077
Dolnośląskie;przystąpiło;mężczyźni;2018;7054
Dolnośląskie;przystąpiło;kobiety;2018;8444
Dolnośląskie;zdało;mężczyźni;2010;8171
Dolnośląskie;zdało;kobiety;2010;11005
Dolnośląskie;zdało;mężczyźni;2011;7090
Dolnośląskie;zdało;kobiety;2011;9018
Dolnośląskie;zdało;mężczyźni;2012;7425
Dolnośląskie;zdało;kobiety;2012;9344
Dolnośląskie;zdało;mężczyźni;2013;7019
Dolnośląskie;zdało;kobiety;2013;9208
Dolnośląskie;zdało;mężczyźni;2014;5881
Dolnośląskie;zdało;kobiety;2014;7223
Dolnośląskie;zdało;mężczyźni;2015;6054
Dolnośląskie;zdało;kobiety;2015;6871
Dolnośląskie;zdało;mężczyźni;2016;5873
Dolnośląskie;zdało;kobiety;2016;7041
Dolnośląskie;zdało;mężczyźni;2017;5833
Dolnośląskie;zdało;kobiety;2017;6820
Dolnośląskie;zdało;mężczyźni;2018;5474
Dolnośląskie;zdało;kobiety;2018;6476
Kujawsko-pomorskie;przystąpiło;mężczyźni;2010;8001
Kujawsko-pomorskie;przystąpiło;kobiety;2010;10636
Kujawsko-pomorskie;przystąpiło;mężczyźni;2011;7554
Kujawsko-pomorskie;przystąpiło;kobiety;2011;10334
Kujawsko-pomorskie;przystąpiło;mężczyźni;2012;7218
Kujawsko-pomorskie;przystąpiło;kobiety;2012;9541
Kujawsko-pomorskie;przystąpiło;mężczyźni;2013;7208
Kujawsko-pomorskie;przystąpiło;kobiety;2013;9346
Kujawsko-pomorskie;przystąpiło;mężczyźni;2014;6700
Kujawsko-pomorskie;przystąpiło;kobiety;2014;8779
Kujawsko-pomorskie;przystąpiło;mężczyźni;2015;6593
Kujawsko-pomorskie;przystąpiło;kobiety;2015;8295
Kujawsko-pomorskie;przystąpiło;mężczyźni;2016;6002
Kujawsko-pomorskie;przystąpiło;kobiety;2016;7560
Kujawsko-pomorskie;przystąpiło;mężczyźni;2017;6165
Kujawsko-pomorskie;przystąpiło;kobiety;2017;7359
Kujawsko-pomorskie;przystąpiło;mężczyźni;2018;5615
